Backup de Produtos ERP
Gerado em: 2026-03-12T12:43:47.316695
Total de produtos: 8611

codigo_interno | nome | preco
92 | CASA STONE HOUSE N3 AZUL | 150.75
93 | CASA STONE HOUSE N3 VERMELHA | 150.75
94 | CASA STONE HOUSE N3 TAUPE | 150.75
95 | CASA STONE HOUSE N3 MARROM | 150.75
96 | CASA STONE HOUSE N5 AZUL | 409.55
97 | CASA STONE HOUSE N 05 VERMELHA | 409.55
98 | CASA STONE HOUSE N6 TAUPE | 430.21
99 | PRIORITA RMG JUNIOR 15KG | 195.00
100 | PRIORITA RMG AD FRAN 15KG | 190.00
101 | PRIORITA MINI JUNIOR FRAN/ARR 10,1KG | 150.00
102 | PRIORITA MINI ADULTO FRANGO 10,1KG | 145.00
103 | RACAO ROOKIE CAES AD 20KG | 180.00
104 | MIK DOG LATA CARNE 290G | 8.00
105 | MIK DOG LATA FRANGO 290G | 8.00
106 | MIK DOG LATA FIGADO 290G | 8.00
107 | MIK CAT LATA CARNE 290G | 8.00
108 | DOG E DOGS ADULTO 20KG | 175.00
109 | RACAO CAT E CATS GATO 20KG | 195.00
110 | CAT E CATS CROOC NUGGETS 20KG | 285.00
111 | TORNADO CAES MIX SABORES 20KG | 140.00
112 | MIK CAT LATA FRANGO 290G | 8.00
113 | MIK CAT LATA FIGADO 290G | 8.00
114 | RACAO ROOKIE CAES JUNIOR 20KG | 217.00
116 | RACAO CLUB PERFORMANCE JUNIOR 15KG | 230.00
117 | RACAO CLUB PERFORMANCE ADULTO 15KG | 230.00
118 | ROYAL CANIN FELINE URINARY 1,5KG | 162.00
119 | REVIPEL POCKET 70G | 79.99
120 | HIDRAPET CREME 100G | 72.00
121 | SEC LAC AGENER UNIAO 0,5MGX16COMP | 96.00
122 | AGEMOXI CL AGENER UNIAO 50MG 10COMP | 61.00
123 | GAVIZ V 10MG 10COMP | 29.00
124 | FLAMAVET GATOS 0,2MG 10COMP | 23.00
125 | NORFLAGEN 200MG 10COMP | 39.99
126 | SEC LAC AGENER UNIAO 2,0MG 16COMP | 158.00
127 | SHAMPOO CLORESTEN AGENER UNIAO 500ML | 165.00
128 | CRONIDOR 12MG 10COMP CX | 89.99
129 | AGEMOXI CL AGENER UNIAO 250MG 10COMP | 105.00
130 | GAVIZ V 20MG 10 COMP | 30.50
131 | KETS TROPICAL 4KG | 7.00
132 | STOMORGYL 2MG 1COMP | 8.24
133 | STOMORGYL 10MG 1COMP | 12.36
134 | CAT CHOW SACHE CAST CAR 85G | 2.99
135 | RACAO CAT CHOW PS AD PEIXE 7.5KG | 116.00
136 | COND SANOL DOG NEUTRO 500ML | 18.00
137 | SHAMPOO SANOL DOG PELOS ESCUROS 500ML | 22.00
138 | SHAMPOO SANOL DOG ANTIPULGAS 500ML | 22.00
139 | SHAMPOO SANOL DOG NEUTRO 500ML | 18.00
140 | SHAMPOO SANOL DOG FILHOTES 500ML | 22.00
141 | SHAMPOO SANOL DOG PELOS CLAROS 500ML | 22.00
142 | ENDOGARD 30 KG COM 2 COMPRIMIDOS | 115.00
143 | RACAO QUATREE LIFE AD RP SAL/ARRO 10,1KG | 145.99
144 | QUATREE LIFE CAES FL RP 10,1KG | 150.00
145 | QUATREE SUP/CAES AD RMG FRA/BAT 15KG | 255.00
146 | QUATREE SUP/CAES DERMATO CORD 3KG | 109.99
147 | QUATREE SUP/CAES FILHOTE RP 15KG | 260.00
148 | RACAO COME E LAMBE 25 KG | 140.00
149 | PET BIFF 25 KG | 140.00
150 | MULTICAT GATOS CASTRADOS 25 KG | 260.00
151 | MIST. GALO DE CAMPINA/AZULAO KG | 12.00
152 | RACAO PASSAROS PEQUENO PORTE 10KG | 100.00
153 | GALO ESPORTIVO 10KG | 60.00
154 | AVEIA KG | 11.00
155 | PAINCO MILETO 1KG | 12.00
156 | MISTURA PAPAGAIO KG | 16.00
157 | TRITURADA DE DENDE C/ FECULA 1 KG | 8.00
158 | MISTURA PERIQUITO KG | 10.00
159 | CAT EXCELLENCE CAST SALMAO 10,1KG | 160.00
160 | DOG EXCELLENCE SMALL PUPPY 10,1KG | 189.99
161 | DOG EXCELLENCE LARGE PUPPY 15KG | 230.00
